"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Reach,"CPM (cost per 1,000 impressions) (EGP)",Impressions,Frequency,"Ad set budget","Ad set budget type",Results,"Result indicator","Cost per results","Amount spent (EGP)","CTR (link click-through rate)","Video plays","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 100%","CPC (cost per link click) (EGP)","Messaging contacts","Post engagements"
2025-07-01,2025-11-30,"msg| LA ROCHE| 28 - 7",inactive,"7-day click or 1-day view",128649,24.602131,304296,2.36532,"Using ad set budget",0,1116,actions:onsite_conversion.messaging_conversation_started_7d,6.708181,7486.33,1.093015,56774,17892,8559,5195,3295,2228,2.250851,1141,27675
2025-07-01,2025-11-30,"msg| LA ROCHE| 28 - 7",inactive,"7-day click or 1-day view",16220,34.62732,24297,1.497965,"Using ad set budget",0,62,actions:onsite_conversion.messaging_conversation_started_7d,13.57,841.34,0.736716,1484,454,507,256,159,112,4.700223,66,1107
2025-07-01,2025-11-30,"ريتش لاروش",inactive,"7-day click or 1-day view",118532,3.445807,164275,1.385913,300,Daily,118532,reach,4.77558803,566.06,0.25993,119574,10338,1189,430,224,122,1.325667,4,10818
2025-07-01,2025-11-30,"msg| LA ROCHE| 29 - 7",inactive,"7-day click or 1-day view",18401,11.376667,20615,1.12032,"Using ad set budget",0,8404,actions:post_engagement,0.02790695,234.53,1.018676,19745,8048,2888,1648,1226,906,1.11681,13,8404
2025-07-01,2025-11-30,"msg| LA ROCHE| 29 - 7 - Copy",inactive,"7-day click or 1-day view",12170,24.891566,14110,1.159408,"Using ad set budget",0,3354,video_thruplay_watched_actions,0.10471676,351.22,0.538625,13212,6486,2575,1791,594,434,4.621316,2,6610
2025-07-01,2025-11-30,"msg| page like|",inactive,"7-day click or 1-day view",20611,22.085857,38133,1.850129,"Using ad set budget",0,1577,actions:like,0.534052,842.2,0.159966,22838,7640,2801,1600,1114,765,13.806557,,8063
2025-07-01,2025-11-30,"msg| LA ROCHE| 29 - 7",inactive,"7-day click or 1-day view",24692,36.224416,48321,1.95695,"Using ad set budget",0,171,actions:onsite_conversion.messaging_conversation_started_7d,10.23625731,1750.4,1.883239,37210,9784,3270,2021,1452,927,1.923516,185,10948
2025-07-01,2025-11-30,"msg| LA ROCHE| 29 - 7 - Copy",inactive,"7-day click or 1-day view",28090,11.829893,32603,1.160662,"Using ad set budget",0,15085,actions:post_engagement,0.02556778,385.69,1.042849,27041,14323,6174,3091,1783,1107,1.134382,9,15085
2025-07-01,2025-11-30,"msg| LA ROCHE|  7 - 8",inactive,"7-day click or 1-day view",7214,37.184086,14830,2.055725,"Using ad set budget",0,27,actions:onsite_conversion.messaging_conversation_started_7d,20.4237037,551.44,1.321645,10780,2348,987,514,347,245,2.813469,29,2596
2025-07-01,2025-11-30,"msg| LA ROCHE| 9 -8 | 13 : 6.68",inactive,"7-day click or 1-day view",23207,24.980521,40299,1.736502,"Using ad set budget",0,200,actions:onsite_conversion.messaging_conversation_started_7d,5.03345,1006.69,1.848681,34129,12254,3444,1809,1153,527,1.351262,208,13268
2025-07-01,2025-11-30,"msg| LA ROCHE| 29 - 7 |23 : 3.74",inactive,"7-day click or 1-day view",99492,25.755289,269592,2.709685,"Using ad set budget",0,1598,actions:onsite_conversion.messaging_conversation_started_7d,4.34506884,6943.42,1.932921,222825,54794,20539,10802,7019,4055,1.332454,1601,61342
2025-07-01,2025-11-30,اورنس,active,"7-day click or 1-day view",2170951,3.386787,3813780,1.756732,"Using ad set budget",0,2170951,reach,5.94967827,12916.46,0.205308,2598637,242188,50117,15456,7832,3776,1.649612,175,251090
2025-07-01,2025-11-30,"msg| LA ROCHE| 11-8 - play",active,"7-day click or 1-day view",284749,12.00274,724842,2.545547,"Using ad set budget",0,315528,actions:post_engagement,0.02757312,8700.09,0.857566,669034,306778,149125,92291,67882,49230,1.399628,325,315528
2025-07-01,2025-11-30,"msg| LA ROCHE| 11 - 8 | 36 : 3.60",active,"7-day click or 1-day view",131603,26.117466,361483,2.746769,"Using ad set budget",0,2129,actions:onsite_conversion.messaging_conversation_started_7d,4.43448567,9441.02,1.955832,296801,74264,27829,14568,9540,5521,1.335364,2121,83118
2025-07-01,2025-11-30,"page like | LA ROCHE| 13 - 8",inactive,"7-day click or 1-day view",81700,21.736468,134549,1.646867,"Using ad set budget",0,4108,actions:like,0.71193281,2924.62,0.036418,118767,31357,14196,7280,4819,3157,59.686122,,32673
2025-07-01,2025-11-30,"eng | LA ROCHE| 13 - 8",inactive,"7-day click or 1-day view",26651,9.612412,36095,1.354358,"Using ad set budget",0,2628,actions:post_engagement,0.13202435,346.96,0.587339,,,,,,,1.636604,13,2628
2025-07-01,2025-11-30,"page like | LA ROCHE| 13 - 8 Dakahlia",inactive,"7-day click or 1-day view",55466,22.325365,85879,1.548318,"Using ad set budget",0,2158,actions:like,0.88845227,1917.28,0.036097,75569,19259,8563,4314,2907,1798,61.847742,,20048
2025-07-01,2025-11-30,"eng | LA ROCHE| 19 - 8",inactive,"7-day click or 1-day view",22869,12.502687,26056,1.139359,"Using ad set budget",0,,,,325.77,1.331747,23749,12474,1767,753,411,97,0.938818,29,12924
2025-07-01,2025-11-30,"msg| LA ROCHE| new",inactive,"7-day click or 1-day view",29776,24.954395,61507,2.065657,"Using ad set budget",0,282,actions:onsite_conversion.messaging_conversation_started_7d,5.44280142,1534.87,1.645341,50374,13696,4751,2276,1559,1066,1.51667,284,14953
2025-07-01,2025-11-30,"اوعي الريتش",inactive,"7-day click or 1-day view",210773,3.766634,264374,1.254307,"Using ad set budget",0,210773,reach,4.72451405,995.8,0.367283,183688,26851,3764,988,552,345,1.025541,17,27909
2025-07-01,2025-11-30,"eng | LA ROCHE| new",inactive,"7-day click or 1-day view",64489,12.757551,93496,1.449798,"Using ad set budget",0,43220,actions:post_engagement,0.02759787,1192.78,1.191495,84952,41740,15471,6367,4016,2711,1.070718,36,43220
2025-07-01,2025-11-30,"New Sales Campaign",active,"7-day click or 1-day view",45956,25.868968,99365,2.162177,"Using ad set budget",0,507,actions:onsite_conversion.messaging_conversation_started_7d,5.06996055,2570.47,1.705832,83536,17776,7509,4367,3140,1216,1.516501,499,19909
2025-07-01,2025-11-30,"Sales | la roche | 28 - 10",active,"7-day click or 1-day view",28275,31.438134,61100,2.16092,"Using ad set budget",0,356,actions:onsite_conversion.messaging_conversation_started_7d,5.39570225,1920.87,1.885434,51842,11421,5462,3423,2449,1262,1.667422,368,12879
2025-07-01,2025-11-30,"msg| LA ROCHE| 11-14",active,"7-day click or 1-day view",15682,36.503785,26686,1.701696,"Using ad set budget",0,140,actions:onsite_conversion.messaging_conversation_started_7d,6.95814286,974.14,1.51765,14129,3408,1767,1083,792,324,2.405284,142,3897
2025-07-01,2025-11-30,"awar | 11-14 - 11",active,"7-day click or 1-day view",251988,4.746796,330524,1.311666,"Using ad set budget",0,251988,reach,6.22620918,1568.93,0.062325,108804,4750,1373,417,197,78,7.616165,7,5025
2025-07-01,2025-11-30,"2ad Set /MAS/ABO",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"laroche | carosel | 300",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
